Jun 11 08:44:24 10.89.0.114 <187>15: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>33: ESW13: *Mar  1 00:00:05.691: %LINK-5-CHANGED: Interface Vlan1, changed state to administratively down
Jun 11 08:44:24 10.89.0.114 <187>16: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>34: ESW13: *Mar  1 00:00:06.623: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>17: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>35: ESW13: *Mar  1 00:00:06.691: %LINK-3-UPDOWN: Interface FastEthernet1/14, changed state to up
Jun 11 08:44:24 10.89.0.114 <187>18: ESW11: *Mar  1 00:00:04.719: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>36: ESW13: *Mar  1 00:00:06.695: %LINK-3-UPDOWN: Interface FastEthernet1/13, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>19: ESW11: *Mar  1 00:00:05.019: %SYS-5-CONFIG_I: Configured from memory by console
Jun 11 08:44:24 10.89.0.114 <187>37: ESW13: *Mar  1 00:00:06.695: %LINK-3-UPDOWN: Interface FastEthernet1/12, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>20: ESW11: *Mar  1 00:00:05.243: %SYS-5-RESTART: System restarted --
Jun 11 08:44:24 10.89.0.114 <187>38: ESW13: *Mar  1 00:00:06.699: %LINK-3-UPDOWN: Interface FastEthernet1/11, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>21: ESW11: Cisco IOS Software, 2600 Software (C2691-ENTSERVICESK9-M), Version 12.4(13b), RELEASE SOFTWARE (fc3)
Jun 11 08:44:24 10.89.0.114 <187>39: ESW13: *Mar  1 00:00:06.699: %LINK-3-UPDOWN: Interface FastEthernet1/10, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>22: ESW11: Technical Support: http://www.cisco.com/techsupport
Jun 11 08:44:24 10.89.0.114 <187>40: ESW13: *Mar  1 00:00:06.703: %LINK-3-UPDOWN: Interface FastEthernet1/9, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>23: ESW11: Copyright (c) 1986-2007 by Cisco Systems, Inc.
Jun 11 08:44:24 10.89.0.114 <187>41: ESW13: *Mar  1 00:00:06.703: %LINK-3-UPDOWN: Interface FastEthernet1/8, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>24: ESW11: Compiled Tue 24-Apr-07 15:33 by prod_rel_team
Jun 11 08:44:24 10.89.0.114 <187>42: ESW13: *Mar  1 00:00:06.707: %LINK-3-UPDOWN: Interface FastEthernet1/7, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>25: ESW11: *Mar  1 00:00:05.255: %SNMP-5-COLDSTART: SNMP agent on host ESW11 is undergoing a cold start
Jun 11 08:44:24 10.89.0.114 <187>43: ESW13: *Mar  1 00:00:06.707: %LINK-3-UPDOWN: Interface FastEthernet1/6, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>26: ESW11: *Mar  1 00:00:05.271: %PCMCIAFS-5-DIBERR: PCMCIA disk 0 is formatted from a different router or PC. A format in this router is required before an image can be booted from this device
Jun 11 08:44:24 10.89.0.114 <187>44: ESW13: *Mar  1 00:00:06.711: %LINK-3-UPDOWN: Interface FastEthernet1/5, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>27: ESW11: *Mar  1 00:00:05.279: %SSH-5-ENABLED: SSH 2.0 has been enabled
Jun 11 08:44:24 10.89.0.114 <187>45: ESW13: *Mar  1 00:00:06.711: %LINK-3-UPDOWN: Interface FastEthernet1/4, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>28: ESW11: *Mar  1 00:00:05.703: %DTP-5-TRUNKPORTON: Port Fa1/0-1 has become dot1q trunk
Jun 11 08:44:24 10.89.0.114 <187>46: ESW13: *Mar  1 00:00:06.711: %LINK-3-UPDOWN: Interface FastEthernet1/3, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>29: ESW11: *Mar  1 00:00:05.755: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/0, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>47: ESW13: *Mar  1 00:00:06.723: %LINEPROTO-5-UPDOWN: Line protocol on Interface Vlan1, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>30: ESW11: *Mar  1 00:00:05.755: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/1, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>48: ESW13: *Mar  1 00:00:07.623: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/15, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>31: ESW11: *Mar  1 00:00:06.003: %LINK-5-CHANGED: Interface Loopback0, changed state to administratively down
Jun 11 08:44:24 10.89.0.114 <189>49: ESW13: *Mar  1 00:00:07.731: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/14, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>32: ESW11: *Mar  1 00:00:06.111: %LINK-5-CHANGED: Interface Vlan1, changed state to administratively down
Jun 11 08:44:24 10.89.0.114 <189>50: ESW13: *Mar  1 00:00:07.731: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/13, changed state to down
Jun 11 08:44:24 10.89.0.114 <189>33: ESW11: *Mar  1 00:00:06.127: %LINEPROTO-5-UPDOWN: Line protocol on Interface Vlan99, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>51: ESW13: *Mar  1 00:00:07.735: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/12, changed state to down
Jun 11 08:44:24 10.89.0.114 <187>34: ESW11: *Mar  1 00:00:07.067: %LINK-3-UPDOWN: Interface FastEthernet1/15, changed state to up
Jun 11 08:44:24 10.89.0.114 <189>52: ESW13: *Mar  1 00:00:07.735: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet1/11, changed state to down
